date,ticker,source,value,unit,delta_pct
2026-08-19,cj-a00,长江有色金属现货市场,23670.0000,CNY/t,-0.962
2026-08-19,FBX01,freightos_fbx,3689.8000,USD/40ft,0.000
2026-08-19,FBX02,freightos_fbx,353.0000,USD/40ft,0.000
2026-08-19,FBX03,freightos_fbx,9422.0000,USD/40ft,0.000
2026-08-19,FBX04,freightos_fbx,523.0000,USD/40ft,0.000
2026-08-19,FBX11,freightos_fbx,5009.0000,USD/40ft,0.000
2026-08-19,FBX12,freightos_fbx,531.0000,USD/40ft,0.000
2026-08-19,FBX13,freightos_fbx,5830.0000,USD/40ft,0.000
2026-08-19,FBX14,freightos_fbx,432.0000,USD/40ft,0.000
2026-08-19,FBX21,freightos_fbx,469.0000,USD/40ft,0.000
2026-08-19,FBX22,freightos_fbx,2240.0000,USD/40ft,0.000
2026-08-19,FBX24,freightos_fbx,1254.0000,USD/40ft,0.000
2026-08-19,FBX26,freightos_fbx,2466.0000,USD/40ft,0.000
2026-08-19,frt-hcmc,Estimated · FBX01 × 0.42 (no public SH→HCMC index),1550.0000,USD/40ft,0.000
2026-08-19,shfe-al-front,SHFE via Sina Finance,23665.0000,CNY/t,-0.900
2026-08-19,shfe-main,SHFE via Sina Finance,23665.0000,CNY/t,-0.900
2026-08-19,AUD/CNY,PBOC via chinamoney.com.cn,4.791500,,
2026-08-19,CAD/CNY,PBOC via chinamoney.com.cn,4.865800,,
2026-08-19,CHF/CNY,PBOC via chinamoney.com.cn,8.333400,,
2026-08-19,CNY/AED,PBOC via chinamoney.com.cn,0.543000,,
2026-08-19,CNY/DKK,PBOC via chinamoney.com.cn,0.954500,,
2026-08-19,CNY/HUF,PBOC via chinamoney.com.cn,46.629300,,
2026-08-19,CNY/KRW,PBOC via chinamoney.com.cn,208.800000,,
2026-08-19,CNY/MOP,PBOC via chinamoney.com.cn,1.191200,,
2026-08-19,CNY/MXN,PBOC via chinamoney.com.cn,2.517400,,
2026-08-19,CNY/MYR,PBOC via chinamoney.com.cn,0.599150,,
2026-08-19,CNY/NOK,PBOC via chinamoney.com.cn,1.392000,,
2026-08-19,CNY/PLN,PBOC via chinamoney.com.cn,0.551240,,
2026-08-19,CNY/RUB,PBOC via chinamoney.com.cn,12.590900,,
2026-08-19,CNY/SAR,PBOC via chinamoney.com.cn,0.555110,,
2026-08-19,CNY/SEK,PBOC via chinamoney.com.cn,1.409800,,
2026-08-19,CNY/THB,PBOC via chinamoney.com.cn,4.901300,,
2026-08-19,CNY/TRY,PBOC via chinamoney.com.cn,7.080920,,
2026-08-19,CNY/ZAR,PBOC via chinamoney.com.cn,2.402000,,
2026-08-19,EUR/CNY,PBOC via chinamoney.com.cn,7.832800,,
2026-08-19,GBP/CNY,PBOC via chinamoney.com.cn,9.158600,,
2026-08-19,HKD/CNY,PBOC via chinamoney.com.cn,0.865020,,
2026-08-19,JPY/CNY,PBOC via chinamoney.com.cn,0.042445,,
2026-08-19,NZD/CNY,PBOC via chinamoney.com.cn,3.973100,,
2026-08-19,SGD/CNY,PBOC via chinamoney.com.cn,5.293500,,
2026-08-19,USD/BRL,open.er-api.com,5.207284,,
2026-08-19,USD/CNY,PBOC via chinamoney.com.cn,6.785400,,
2026-08-19,USD/VND,open.er-api.com,26119.074036,,
