date,ticker,source,value,unit,delta_pct
2026-06-26,cj-a00,长江有色金属现货市场,22880.0000,CNY/t,0.131
2026-06-26,FBX01,freightos_fbx,3273.4000,USD/40ft,0.000
2026-06-26,FBX02,freightos_fbx,447.0000,USD/40ft,0.000
2026-06-26,FBX03,freightos_fbx,7419.0000,USD/40ft,0.000
2026-06-26,FBX04,freightos_fbx,612.0000,USD/40ft,0.000
2026-06-26,FBX11,freightos_fbx,4741.0000,USD/40ft,0.000
2026-06-26,FBX12,freightos_fbx,573.0000,USD/40ft,0.000
2026-06-26,FBX13,freightos_fbx,6308.0000,USD/40ft,0.000
2026-06-26,FBX14,freightos_fbx,447.0000,USD/40ft,0.000
2026-06-26,FBX21,freightos_fbx,568.0000,USD/40ft,0.000
2026-06-26,FBX22,freightos_fbx,2078.0000,USD/40ft,0.000
2026-06-26,FBX24,freightos_fbx,993.0000,USD/40ft,0.000
2026-06-26,FBX26,freightos_fbx,2550.0000,USD/40ft,0.000
2026-06-26,fob-6061,Formula · LME 3M + extrusion premium,3906.7500,USD/t,-7.109
2026-06-26,fob-6063,Formula · LME 3M + extrusion premium,3636.7500,USD/t,-7.597
2026-06-26,frt-hcmc,Estimated · FBX01 × 0.42 (no public SH→HCMC index),1375.0000,USD/40ft,0.000
2026-06-26,lme-3m,Yahoo Finance,3286.7500,USD/t,-8.339
2026-06-26,shfe-al-front,SHFE via Sina Finance,22905.0000,CNY/t,0.285
2026-06-26,shfe-main,SHFE via Sina Finance,22905.0000,CNY/t,0.285
2026-06-26,AUD/CNY,PBOC via chinamoney.com.cn,4.702100,,
2026-06-26,CAD/CNY,PBOC via chinamoney.com.cn,4.795400,,
2026-06-26,CHF/CNY,PBOC via chinamoney.com.cn,8.404600,,
2026-06-26,CNY/AED,PBOC via chinamoney.com.cn,0.539260,,
2026-06-26,CNY/DKK,PBOC via chinamoney.com.cn,0.965800,,
2026-06-26,CNY/HUF,PBOC via chinamoney.com.cn,45.734800,,
2026-06-26,CNY/KRW,PBOC via chinamoney.com.cn,227.050000,,
2026-06-26,CNY/MOP,PBOC via chinamoney.com.cn,1.185200,,
2026-06-26,CNY/MXN,PBOC via chinamoney.com.cn,2.568400,,
2026-06-26,CNY/MYR,PBOC via chinamoney.com.cn,0.604490,,
2026-06-26,CNY/NOK,PBOC via chinamoney.com.cn,1.448500,,
2026-06-26,CNY/PLN,PBOC via chinamoney.com.cn,0.553040,,
2026-06-26,CNY/RUB,PBOC via chinamoney.com.cn,11.102300,,
2026-06-26,CNY/SAR,PBOC via chinamoney.com.cn,0.551340,,
2026-06-26,CNY/SEK,PBOC via chinamoney.com.cn,1.430200,,
2026-06-26,CNY/THB,PBOC via chinamoney.com.cn,4.904700,,
2026-06-26,CNY/TRY,PBOC via chinamoney.com.cn,6.838400,,
2026-06-26,CNY/ZAR,PBOC via chinamoney.com.cn,2.421400,,
2026-06-26,EUR/CNY,PBOC via chinamoney.com.cn,7.740500,,
2026-06-26,GBP/CNY,PBOC via chinamoney.com.cn,8.983200,,
2026-06-26,HKD/CNY,PBOC via chinamoney.com.cn,0.869420,,
2026-06-26,JPY/CNY,PBOC via chinamoney.com.cn,0.042107,,
2026-06-26,NZD/CNY,PBOC via chinamoney.com.cn,3.843500,,
2026-06-26,SGD/CNY,PBOC via chinamoney.com.cn,5.252600,,
2026-06-26,USD/BRL,open.er-api.com,5.189004,,
2026-06-26,USD/CNY,PBOC via chinamoney.com.cn,6.816600,,
2026-06-26,USD/VND,open.er-api.com,26259.002835,,
