date,ticker,source,value,unit,delta_pct
2026-08-04,cj-a00,长江有色金属现货市场,23720.0000,CNY/t,0.936
2026-08-04,FBX01,freightos_fbx,3627.6000,USD/40ft,0.000
2026-08-04,FBX02,freightos_fbx,423.0000,USD/40ft,0.000
2026-08-04,FBX03,freightos_fbx,9012.0000,USD/40ft,0.000
2026-08-04,FBX04,freightos_fbx,472.0000,USD/40ft,0.000
2026-08-04,FBX11,freightos_fbx,5531.0000,USD/40ft,0.000
2026-08-04,FBX12,freightos_fbx,532.0000,USD/40ft,0.000
2026-08-04,FBX13,freightos_fbx,6554.0000,USD/40ft,0.000
2026-08-04,FBX14,freightos_fbx,666.0000,USD/40ft,0.000
2026-08-04,FBX21,freightos_fbx,499.0000,USD/40ft,0.000
2026-08-04,FBX22,freightos_fbx,2158.0000,USD/40ft,0.000
2026-08-04,FBX24,freightos_fbx,1246.0000,USD/40ft,0.000
2026-08-04,FBX26,freightos_fbx,2464.0000,USD/40ft,0.000
2026-08-04,fob-6061,Formula · LME 3M + extrusion premium,4054.5000,USD/t,2.522
2026-08-04,fob-6063,Formula · LME 3M + extrusion premium,3784.5000,USD/t,2.707
2026-08-04,frt-hcmc,Estimated · FBX01 × 0.42 (no public SH→HCMC index),1524.0000,USD/40ft,0.000
2026-08-04,lme-3m,Yahoo Finance,3434.5000,USD/t,2.991
2026-08-04,shfe-al-front,SHFE via Sina Finance,23820.0000,CNY/t,0.996
2026-08-04,shfe-main,SHFE via Sina Finance,23820.0000,CNY/t,0.996
2026-08-04,AUD/CNY,PBOC via chinamoney.com.cn,4.741900,,
2026-08-04,CAD/CNY,PBOC via chinamoney.com.cn,4.822400,,
2026-08-04,CHF/CNY,PBOC via chinamoney.com.cn,8.367700,,
2026-08-04,CNY/AED,PBOC via chinamoney.com.cn,0.542270,,
2026-08-04,CNY/DKK,PBOC via chinamoney.com.cn,0.958700,,
2026-08-04,CNY/HUF,PBOC via chinamoney.com.cn,46.662100,,
2026-08-04,CNY/KRW,PBOC via chinamoney.com.cn,211.070000,,
2026-08-04,CNY/MOP,PBOC via chinamoney.com.cn,1.189900,,
2026-08-04,CNY/MXN,PBOC via chinamoney.com.cn,2.555300,,
2026-08-04,CNY/MYR,PBOC via chinamoney.com.cn,0.604130,,
2026-08-04,CNY/NOK,PBOC via chinamoney.com.cn,1.408500,,
2026-08-04,CNY/PLN,PBOC via chinamoney.com.cn,0.552670,,
2026-08-04,CNY/RUB,PBOC via chinamoney.com.cn,11.901300,,
2026-08-04,CNY/SAR,PBOC via chinamoney.com.cn,0.554490,,
2026-08-04,CNY/SEK,PBOC via chinamoney.com.cn,1.412000,,
2026-08-04,CNY/THB,PBOC via chinamoney.com.cn,4.935600,,
2026-08-04,CNY/TRY,PBOC via chinamoney.com.cn,7.016230,,
2026-08-04,CNY/ZAR,PBOC via chinamoney.com.cn,2.437600,,
2026-08-04,EUR/CNY,PBOC via chinamoney.com.cn,7.798600,,
2026-08-04,GBP/CNY,PBOC via chinamoney.com.cn,9.100300,,
2026-08-04,HKD/CNY,PBOC via chinamoney.com.cn,0.866030,,
2026-08-04,JPY/CNY,PBOC via chinamoney.com.cn,0.043015,,
2026-08-04,NZD/CNY,PBOC via chinamoney.com.cn,3.976100,,
2026-08-04,SGD/CNY,PBOC via chinamoney.com.cn,5.282400,,
2026-08-04,USD/BRL,open.er-api.com,5.071137,,
2026-08-04,USD/CNY,PBOC via chinamoney.com.cn,6.791700,,
2026-08-04,USD/VND,open.er-api.com,26160.642832,,
