date,ticker,source,value,unit,delta_pct
2026-06-22,cj-a00,长江有色金属现货市场,23870.0000,CNY/t,0.000
2026-06-22,FBX01,freightos_fbx,3273.4000,USD/40ft,0.000
2026-06-22,FBX02,freightos_fbx,447.0000,USD/40ft,0.000
2026-06-22,FBX03,freightos_fbx,7419.0000,USD/40ft,0.000
2026-06-22,FBX04,freightos_fbx,612.0000,USD/40ft,0.000
2026-06-22,FBX11,freightos_fbx,4741.0000,USD/40ft,0.000
2026-06-22,FBX12,freightos_fbx,573.0000,USD/40ft,0.000
2026-06-22,FBX13,freightos_fbx,6308.0000,USD/40ft,0.000
2026-06-22,FBX14,freightos_fbx,447.0000,USD/40ft,0.000
2026-06-22,FBX21,freightos_fbx,568.0000,USD/40ft,0.000
2026-06-22,FBX22,freightos_fbx,2078.0000,USD/40ft,0.000
2026-06-22,FBX24,freightos_fbx,993.0000,USD/40ft,0.000
2026-06-22,FBX26,freightos_fbx,2550.0000,USD/40ft,0.000
2026-06-22,fob-6061,Formula · LME 3M + extrusion premium,4095.2500,USD/t,0.000
2026-06-22,fob-6063,Formula · LME 3M + extrusion premium,3825.2500,USD/t,0.000
2026-06-22,frt-hcmc,Estimated · FBX01 × 0.42 (no public SH→HCMC index),1375.0000,USD/40ft,0.000
2026-06-22,lme-3m,Yahoo Finance,3475.2500,USD/t,0.000
2026-06-22,shfe-al-front,SHFE via Sina Finance,24170.0000,CNY/t,0.792
2026-06-22,shfe-main,SHFE via Sina Finance,24170.0000,CNY/t,0.792
2026-06-22,AUD/CNY,PBOC via chinamoney.com.cn,4.759000,,
2026-06-22,CAD/CNY,PBOC via chinamoney.com.cn,4.791500,,
2026-06-22,CHF/CNY,PBOC via chinamoney.com.cn,8.416100,,
2026-06-22,CNY/AED,PBOC via chinamoney.com.cn,0.540740,,
2026-06-22,CNY/DKK,PBOC via chinamoney.com.cn,0.959700,,
2026-06-22,CNY/HUF,PBOC via chinamoney.com.cn,45.185000,,
2026-06-22,CNY/KRW,PBOC via chinamoney.com.cn,225.700000,,
2026-06-22,CNY/MOP,PBOC via chinamoney.com.cn,1.185200,,
2026-06-22,CNY/MXN,PBOC via chinamoney.com.cn,2.549300,,
2026-06-22,CNY/MYR,PBOC via chinamoney.com.cn,0.608210,,
2026-06-22,CNY/NOK,PBOC via chinamoney.com.cn,1.428600,,
2026-06-22,CNY/PLN,PBOC via chinamoney.com.cn,0.546140,,
2026-06-22,CNY/RUB,PBOC via chinamoney.com.cn,10.780000,,
2026-06-22,CNY/SAR,PBOC via chinamoney.com.cn,0.552620,,
2026-06-22,CNY/SEK,PBOC via chinamoney.com.cn,1.411700,,
2026-06-22,CNY/THB,PBOC via chinamoney.com.cn,4.852200,,
2026-06-22,CNY/TRY,PBOC via chinamoney.com.cn,6.834890,,
2026-06-22,CNY/ZAR,PBOC via chinamoney.com.cn,2.419900,,
2026-06-22,EUR/CNY,PBOC via chinamoney.com.cn,7.788600,,
2026-06-22,GBP/CNY,PBOC via chinamoney.com.cn,8.977400,,
2026-06-22,HKD/CNY,PBOC via chinamoney.com.cn,0.869550,,
2026-06-22,JPY/CNY,PBOC via chinamoney.com.cn,0.042158,,
2026-06-22,NZD/CNY,PBOC via chinamoney.com.cn,3.895800,,
2026-06-22,SGD/CNY,PBOC via chinamoney.com.cn,5.258600,,
2026-06-22,USD/CNY,PBOC via chinamoney.com.cn,6.815000,,
