date,ticker,source,value,unit,delta_pct
2026-06-27,FBX01,freightos_fbx,3433.0000,USD/40ft,4.876
2026-06-27,FBX02,freightos_fbx,447.0000,USD/40ft,0.000
2026-06-27,FBX03,freightos_fbx,7419.0000,USD/40ft,0.000
2026-06-27,FBX04,freightos_fbx,612.0000,USD/40ft,0.000
2026-06-27,FBX11,freightos_fbx,4741.0000,USD/40ft,0.000
2026-06-27,FBX12,freightos_fbx,573.0000,USD/40ft,0.000
2026-06-27,FBX13,freightos_fbx,6308.0000,USD/40ft,0.000
2026-06-27,FBX14,freightos_fbx,447.0000,USD/40ft,0.000
2026-06-27,FBX21,freightos_fbx,568.0000,USD/40ft,0.000
2026-06-27,FBX22,freightos_fbx,2078.0000,USD/40ft,0.000
2026-06-27,FBX24,freightos_fbx,993.0000,USD/40ft,0.000
2026-06-27,FBX26,freightos_fbx,2550.0000,USD/40ft,0.000
2026-06-27,frt-hcmc,Estimated · FBX01 × 0.42 (no public SH→HCMC index),1442.0000,USD/40ft,4.873
2026-06-27,shfe-al-front,SHFE via Sina Finance,23115.0000,CNY/t,0.917
2026-06-27,shfe-main,SHFE via Sina Finance,23115.0000,CNY/t,0.917
2026-06-27,USD/BRL,open.er-api.com,5.175772,,
2026-06-27,USD/CNY,open.er-api.com,6.807597,,
2026-06-27,USD/VND,open.er-api.com,26261.422533,,
