date,ticker,source,value,unit,delta_pct
2026-08-01,FBX01,freightos_fbx,3629.5000,USD/40ft,-0.958
2026-08-01,FBX02,freightos_fbx,429.0000,USD/40ft,0.000
2026-08-01,FBX03,freightos_fbx,9002.0000,USD/40ft,0.000
2026-08-01,FBX04,freightos_fbx,520.0000,USD/40ft,0.000
2026-08-01,FBX11,freightos_fbx,5575.0000,USD/40ft,0.000
2026-08-01,FBX12,freightos_fbx,541.0000,USD/40ft,0.000
2026-08-01,FBX13,freightos_fbx,6697.0000,USD/40ft,0.000
2026-08-01,FBX14,freightos_fbx,675.0000,USD/40ft,0.000
2026-08-01,FBX21,freightos_fbx,524.0000,USD/40ft,0.000
2026-08-01,FBX22,freightos_fbx,2067.0000,USD/40ft,0.000
2026-08-01,FBX24,freightos_fbx,1250.0000,USD/40ft,0.000
2026-08-01,FBX26,freightos_fbx,2468.0000,USD/40ft,0.000
2026-08-01,frt-hcmc,Estimated · FBX01 × 0.42 (no public SH→HCMC index),1524.0000,USD/40ft,-0.975
2026-08-01,shfe-al-front,SHFE via Sina Finance,23665.0000,CNY/t,-0.021
2026-08-01,shfe-main,SHFE via Sina Finance,23665.0000,CNY/t,-0.021
2026-08-02,USD/BRL,open.er-api.com,5.065913,,
2026-08-02,USD/CNY,open.er-api.com,6.768807,,
2026-08-02,USD/VND,open.er-api.com,26190.990156,,
